Country,Ladder,Log_GDP,Soc_Support,Health_Expect,Freedom,Generosity,Conf_Gov,Pos_Affect,Neg_Affect,Corrupt,sdLadder,cvLadder,Gini_Household,Int_Score
Cuba,5.4178686142,9.6764249802,0.9695951343,66.3265686035,0.3035404086,0.145238921046257,0.5131755471,0.6467117667,0.2766015232,0.56760048866272,2.1301300526,0.3931675255,0.527087509632111,3.50441157817841
Cyprus,5.7946186066,10.3231220245,0.7864384651,72.6419372559,0.7562209964,-0.0367343202,0.3339095116,0.742049396,0.3363446891,0.897639513,2.4205508232,0.4177239239,0.3981894851,5.90799788633982
Czech Republic,6.7356271744,10.3233633041,0.9305928946,69.4207305908,0.8503282666,-0.2031100839,0.4151207209,0.7557019591,0.2010416389,0.9004307389,1.6821707487,0.2497422546,0.2905338705,7.95271853605906
Denmark,7.55778265,10.6831016541,0.9544515014,70.9155502319,0.9482305646,0.1313268691,0.4676606953,0.8361157179,0.2075834274,0.2098933756,1.6114698648,0.2132199258,0.50498873,8.64583174387614
Djibouti,4.3691935539,7.9312744141,0.6329732537,51.8726081848,0.7464394569,-0.0632062629,0.6784912348,0.5793028474,0.1805926263,0.5189301372,2.3783500195,0.5443453193,0.488828539848328,2.79336849848429
Dominican Republic,5.2386984825,9.5387210846,0.8947534561,63.3088035583,0.8727124333,-0.0831515938,0.5494248271,0.7599455714,0.2780951262,0.7371829748,3.1120915413,0.594058156,0.4840801358,5.23631180326144
Ecuador,6.1154375076,9.2230091095,0.8423520923,67.1619873047,0.8463363051,-0.0174206402,0.4744277894,0.8463540077,0.365246594,0.7740841508,2.4262428284,0.396740675,0.3875209093,5.9214061498642
Egypt,4.5567407608,9.2464361191,0.8092185855,61.4412307739,0.6558452249,-0.1503017992,0.6191309094,0.6113696694,0.3704982102,0.8175274134,2.0551702976,0.4510176182,0.3625634611,3.47719550132751
El Salvador,6.1398248672,9.0175333023,0.7936599851,64.1089630127,0.7998470068,-0.1944306493,0.2517047822,0.7612556815,0.3457364738,0.7973120213,2.5981259346,0.4231596291,0.4577645659,5.3629111746947
Estonia,5.6496753693,10.2202482224,0.9377151132,67.3777618408,0.8427706957,-0.1568589956,0.3398343027,0.7262548804,0.1768692583,0.6390852928,1.7530863285,0.3102985919,0.3435967863,7.35072354475657
